system:index,B11,B12,B2,B3,B4,B8,NDBI,NDVI,SCL,class,year,.geo
1_1_0_0,0.2025,0.0978,0.0291,0.0464,0.0334,0.3072,-0.20541497,0.8038755,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.84050032311072,-0.7361244595717419]}"
1_1_1_0,0.25615,0.1137,0.0355,0.0695,0.0315,0.4264,-0.24943227,0.8624154,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.00255640036588,-0.6729728950981395]}"
1_1_2_0,0.1322,0.0564,0.0232,0.0418,0.0213,0.273,-0.3474827,0.85524976,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.73683473932331,-0.7800520769651865]}"
1_1_3_0,0.1728,0.0698,0.0257,0.0522,0.0219,0.3184,-0.2964169,0.87129,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.69218846970257,-0.8205660962789769]}"
1_1_4_0,0.1718,0.07055,0.02635,0.05585,0.0227,0.367,-0.36228657,0.88350016,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.64547607492837,-0.9194706090605362]}"
1_1_5_0,0.2174,0.0897,0.02715,0.0592,0.03055,0.4234,-0.32147318,0.8654037,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.60630952854075,-0.929082582600615]}"
1_1_6_0,0.2045,0.0849,0.0242,0.058,0.02375,0.4168,-0.34170285,0.8921802,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.58160585822746,-0.9771424503010095]}"
1_1_7_0,0.1803,0.07635,0.0295,0.052,0.0266,0.3612,-0.33407202,0.8628159,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.55618353568688,-0.992952799301513]}"
1_1_8_0,0.1671,0.0629,0.0246,0.04225,0.02295,0.3798,-0.38891935,0.88603354,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.61178925177389,-1.030682041234533]}"
1_1_9_0,0.2149,0.0957,0.04905,0.0654,0.03925,0.3706,-0.26592654,0.8084665,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.6179876272343,-0.9641168786812764]}"
1_1_10_0,0.1004,0.0394,0.0278,0.0504,0.0258,0.259,-0.44129103,0.81882024,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.69353594262876,-1.0348142915414829]}"
1_1_11_0,0.2481,0.125,0.0402,0.0625,0.0422,0.3368,-0.15164988,0.7773087,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.76216723033549,-1.0395753625473163]}"
1_1_12_0,0.2364,0.1091,0.0426,0.0814,0.04,0.3908,-0.24617349,0.814299,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.8081609728824,-1.0141530400067338]}"
1_1_13_0,0.2535,0.1179,0.0484,0.0822,0.04765,0.362,-0.17627941,0.76736236,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.84732751927002,-0.9990613432335258]}"
1_1_14_0,0.2227,0.0941,0.0312,0.0618,0.0302,0.398,-0.28242308,0.8589444,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.89332126181694,-1.0340956393141871]}"
1_1_15_0,0.1678,0.06965,0.0275,0.05385,0.02665,0.3098,-0.29731995,0.8415812,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.04441789260584,-1.0602366140820652]}"
1_1_16_0,0.2137,0.1027,0.0578,0.08635,0.06045,0.3692,-0.2667696,0.71860814,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.1034372067725,-0.989449369693447]}"
1_1_17_0,0.22085,0.0914,0.0327,0.05255,0.02755,0.3952,-0.28301275,0.86966294,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.8493936444235,-0.8816515355991044]}"
1_1_18_0,0.1964,0.0816,0.03175,0.0542,0.02665,0.3734,-0.3106353,0.86676663,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.75668750710236,-0.8405086955864303]}"
1_1_19_0,0.1814,0.0711,0.0352,0.049,0.0269,0.3308,-0.29168293,0.84959465,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.69973431808918,-0.8810227149002207]}"
1_1_20_0,0.2115,0.087,0.0319,0.05535,0.0291,0.362,-0.2624237,0.85118896,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.8493936444235,-0.9551337258400813]}"
1_1_21_0,0.2324,0.1064,0.0373,0.06865,0.03165,0.4014,-0.26664564,0.8538275,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.99563937267816,-0.7093546641049802]}"
1_1_22_0,0.226,0.1053,0.0355,0.0563,0.0302,0.3448,-0.20812894,0.83893335,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.97982902367765,-0.7313633885659084]}"
1_1_23_0,0.234,0.104,0.041,0.0744,0.0357,0.3828,-0.24124515,0.8293907,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.98333245328571,-0.7718774078796988]}"
1_1_24_0,0.23995,0.10295,0.04405,0.08525,0.0441,0.4266,-0.28002402,0.8126195,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.02995501653152,-0.8164338459720271]}"
1_1_25_0,0.21785,0.0989,0.0383,0.07135,0.03895,0.3926,-0.28626424,0.81948787,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.97713407782528,-0.8810227149002207]}"
1_1_26_0,0.1805,0.076,0.024,0.0496,0.0246,0.3844,-0.36094886,0.8797066,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.93868618366497,-0.9421081542203481]}"
1_1_27_0,0.17375,0.06645,0.02355,0.0416,0.02065,0.364,-0.35378894,0.8926297,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.70485471520867,-0.929082582600615]}"
1_1_28_0,0.2364,0.1056,0.0412,0.0658,0.0359,0.395,-0.25118786,0.833372,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.82810357218986,-0.9345623058337442]}"
1_1_29_0,0.10115,0.03525,0.0278,0.0522,0.0233,0.3396,-0.54100966,0.87158996,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.74402126159627,-0.9809153744943114]}"
1_1_30_0,0.1874,0.07535,0.0345,0.0645,0.0309,0.4062,-0.36859837,0.8586136,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.66856277773023,-0.9665423299483992]}"
1_1_31_0,0.1738,0.07345,0.02525,0.04015,0.02015,0.3274,-0.30646446,0.8840455,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.96303052786462,-0.9904375165059784]}"
1_1_32_0,0.2029,0.0858,0.0224,0.06125,0.0257,0.3954,-0.32174492,0.87793875,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.97812222463781,-1.056733184473999]}"
1_1_33_0,0.246,0.121,0.0372,0.058,0.0378,0.3444,-0.16666664,0.8021978,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.90751464330603,-0.8518274681663363]}"
1_1_34_0,0.1179,0.0467,0.0484,0.0563,0.0378,0.279,-0.4058957,0.7613636,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.14979027543306,-0.8075405246592439]}"
1_1_35_0,0.1998,0.088,0.041,0.0597,0.0345,0.3002,-0.20079997,0.79384524,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.09894563035189,-0.8620682624052988]}"
1_1_36_0,0.25065,0.1239,0.04905,0.0716,0.04755,0.3394,-0.150411,0.7542318,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.11062372904546,-0.7487907050778271]}"
1_1_37_0,0.2152,0.0973,0.0288,0.0772,0.0377,0.3356,-0.21859111,0.7980177,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.18347709858755,-0.8902753623266517]}"
1_1_38_0,0.2533,0.1208,0.0297,0.061,0.0412,0.3784,-0.19803701,0.8036225,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.12850020319944,-0.9550438943116693]}"
1_1_39_0,0.2081,0.0868,0.0313,0.0486,0.0283,0.3436,-0.24560449,0.84780854,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.006508987616,-0.9712135694258206]}"
1_1_40_0,0.2301,0.1,0.0417,0.065,0.0393,0.3808,-0.24668522,0.8129017,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.86888708608889,-0.8082591768865395]}"
1_1_41_0,0.21035,0.0959,0.03315,0.0546,0.0349,0.3242,-0.21298288,0.8056252,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.77411482361428,-0.7299260841113172]}"
1_1_42_0,0.2314,0.1052,0.0385,0.0657,0.0377,0.3768,-0.2390661,0.8180941,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.79693203183092,-0.8951262648608972]}"
1_1_43_0,0.22525,0.098,0.0316,0.06245,0.0315,0.4074,-0.28791592,0.8564593,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.94183028715939,-0.8049354103352973]}"
1_1_44_0,0.1947,0.0805,0.0241,0.0462,0.0229,0.3708,-0.3114058,0.88366777,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.71868877058411,-0.8319747003872948]}"
1_1_45_0,0.1833,0.07765,0.0267,0.0449,0.01995,0.336,-0.29404968,0.8879056,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.58960086425613,-0.99879184864829]}"
1_1_46_0,0.0175,0.0085,0.0617,0.0822,0.0736,0.0375,-0.36363637,-0.3249325,6.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.69946482350394,-1.0619434131218923]}"
1_1_47_0,0.27935,0.1393,0.0461,0.07985,0.05685,0.382,-0.1552128,0.74091375,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.76944358413685,-0.9294419087142629]}"
1_1_48_0,0.23005,0.10475,0.039,0.06775,0.03445,0.3668,-0.22911957,0.8282866,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.96204238105209,-1.1041642314755098]}"
1_1_49_0,0.1954,0.08265,0.0476,0.07275,0.036,0.4034,-0.3473614,0.8361402,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.0358838974067,-1.1069490088562803]}"
1_1_50_0,0.13555,0.0501,0.01665,0.0398,0.02045,0.328,-0.41516557,0.8826231,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.07729623200461,-1.04388727591109]}"
1_1_51_0,0.23145,0.11315,0.03785,0.05835,0.0444,0.3127,-0.14931543,0.75133014,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.04756199610026,-0.9212672396287752]}"
1_1_52_0,0.21005,0.09265,0.0348,0.05745,0.0314,0.348,-0.24720006,0.8344755,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.9959088672634,-0.9202790928162438]}"
1_1_53_0,0.2393,0.1048,0.0288,0.0646,0.0288,0.434,-0.2891727,0.8755402,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.86529382495242,-0.8433833044956127]}"
1_1_54_0,0.168,0.07775,0.0315,0.06935,0.0325,0.3212,-0.31316438,0.81622845,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.85163943263379,-0.6894120647975268]}"
1_1_55_0,0.2411,0.0908,0.0362,0.0838,0.0332,0.6408,-0.453226,0.90148365,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.24186759205531,-0.8457189242343235]}"
1_1_56_0,0.202,0.09805,0.04155,0.07405,0.0387,0.3248,-0.23310554,0.78707016,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.16766674958704,-0.852276625808396]}"
1_1_57_0,0.231,0.1031,0.0404,0.0638,0.0358,0.3976,-0.2650334,0.83479464,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.16110904801297,-0.7588518362599658]}"
1_1_58_0,0.2603,0.1081,0.0544,0.0786,0.04,0.4232,-0.23833211,0.82728845,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.12643407804596,-0.9064450374408032]}"
1_1_59_0,0.1873,0.0791,0.03355,0.05005,0.02735,0.2967,-0.22603306,0.8311989,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.06777408999295,-0.8089778291138351]}"
1_1_60_0,0.2153,0.095,0.0425,0.0675,0.0354,0.3916,-0.29049268,0.83419204,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.98917150263249,-0.8007133284999355]}"
1_1_61_0,0.2783,0.1538,0.0574,0.1022,0.069,0.4048,-0.18518521,0.70873785,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.94120146646051,-1.0302328835924732]}"
1_1_62_0,0.2006,0.08575,0.0313,0.0531,0.0289,0.3538,-0.2763348,0.84896785,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.83034936040016,-0.7617264451691482]}"
1_1_63_0,0.2219,0.0949,0.0384,0.07795,0.0367,0.4088,-0.2963374,0.8352413,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.898351827408,-0.9134518966569354]}"
1_1_64_0,0.21745,0.1059,0.0294,0.05375,0.03125,0.3254,-0.19885789,0.8247582,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.92098937256782,-1.062482402292364]}"
1_1_65_0,0.21685,0.0961,0.0448,0.0681,0.03375,0.4112,-0.30944988,0.84829754,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.0020174111954,-0.8359272876374207]}"
1_1_66_0,0.2143,0.0914,0.03555,0.0716,0.03605,0.3946,-0.29610774,0.83257866,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.74860266954528,-0.8900956992698279]}"
1_1_67_0,0.1792,0.08065,0.03585,0.0574,0.04175,0.3,-0.25208685,0.75566936,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.65041680899103,-0.9388742191975179]}"
1_1_68_0,0.181,0.0745,0.0445,0.0578,0.0326,0.3208,-0.2785971,0.8155065,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.68958335537863,-0.8510189844106287]}"
1_1_69_0,0.18845,0.08735,0.0397,0.0574,0.0368,0.3161,-0.25299773,0.79144233,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.66487968506534,-0.880483725729749]}"
1_1_70_0,0.2014,0.0857,0.0341,0.05975,0.03065,0.359,-0.2812277,0.8426793,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.91416217640851,-0.9656440146642796]}"
1_1_71_0,0.0073,0.0067,0.0322,0.03995,0.02765,0.005,0.18699189,-0.6937213,6.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.71159207983956,-1.0974268668446134]}"
1_1_72_0,0.2234,0.0918,0.0276,0.0568,0.0236,0.4188,-0.30426657,0.89330924,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.65939996183222,-1.0617637500650685]}"
1_1_73_0,0.2196,0.09605,0.034,0.0593,0.03085,0.3568,-0.23802912,0.8408358,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.88388895133369,-0.8715904044169657]}"
1_1_74_0,0.2224,0.09935,0.04135,0.0555,0.0298,0.3722,-0.2519341,0.8517413,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.06103672536206,-0.7575941948621985]}"
1_1_75_0,0.3587,0.21665,0.0759,0.1202,0.101,0.4178,-0.07611076,0.6106399,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.98557824149601,-0.9381555669702223]}"
1_1_76_0,0.06725,0.0424,0.0281,0.0494,0.04305,0.02755,0.41877636,-0.21954672,7.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.23477090131077,-0.9017737979633816]}"
1_1_77_0,0.2137,0.09255,0.0325,0.05935,0.03085,0.389,-0.29085782,0.8530427,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.86744978163429,-0.9230638701970143]}"
1_1_78_0,0.20695,0.0984,0.03785,0.07015,0.0353,0.3234,-0.21957198,0.80317813,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.78570309077942,-0.8201169386369171]}"
1_1_79_0,0.16045,0.0591,0.0268,0.0407,0.01915,0.3666,-0.3911394,0.9007129,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.64565573798518,-0.993132462358337]}"
1_1_80_0,0.2198,0.0947,0.0336,0.0702,0.0368,0.3704,-0.25516775,0.81925344,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.04594502858885,-0.9588168185049712]}"
1_1_81_0,0.22575,0.1044,0.02835,0.06355,0.0318,0.4004,-0.2789268,0.8528459,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.00614966150235,-1.1050625467596293]}"
1_1_82_0,0.2589,0.1293,0.0504,0.083,0.0536,0.3272,-0.11653303,0.7184874,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.83313413778093,-0.8928804766505983]}"
1_1_83_0,0.2382,0.10595,0.04295,0.07585,0.03835,0.4444,-0.3020803,0.8411186,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.90931127387427,-0.8022404644829386]}"
1_1_84_0,0.1694,0.0781,0.0353,0.0501,0.0314,0.2786,-0.24374999,0.79741937,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.11053389751704,-0.8050252418637092]}"
1_1_85_0,0.1135,0.0536,0.0359,0.0563,0.033,0.2878,-0.43433842,0.7942644,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.25264737546475,-0.7864301154824351]}"
1_1_86_0,0.2401,0.10945,0.0409,0.074,0.0405,0.364,-0.2050985,0.7997528,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.88047535325403,-0.9635778895108047]}"
1_1_87_0,0.23255,0.13545,0.05035,0.08385,0.07,0.3458,-0.19581571,0.6632997,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.7929794445808,-0.9803763853238397]}"
1_1_88_0,0.1665,0.0679,0.0248,0.0478,0.0295,0.3416,-0.3446172,0.8410132,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.61637065972289,-0.9895392012218589]}"
1_1_89_0,0.22155,0.09585,0.03845,0.0684,0.0386,0.373,-0.25473046,0.81243926,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.84014099699706,-0.9641168786812764]}"
1_1_90_0,0.23,0.1022,0.0346,0.0641,0.0358,0.4104,-0.28169894,0.83953387,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.7660299860572,-0.7691824620273403]}"
1_1_91_0,0.25355,0.10625,0.03865,0.0692,0.03305,0.4562,-0.2855231,0.8648952,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.73306181513001,-0.9188417883616525]}"
1_1_92_0,0.21745,0.104,0.04165,0.0709,0.03635,0.3306,-0.20645927,0.80188036,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.75713666474442,-0.9394132083679896]}"
1_1_93_0,0.22445,0.1253,0.05105,0.0853,0.08055,0.3444,-0.210864,0.6208966,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.70701067189054,-1.000498647688117]}"
1_1_94_0,0.00835,0.00745,0.0326,0.0488,0.041,0.0072,0.07395498,-0.70124483,6.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.73099568997654,-1.0396651940757282]}"
1_1_95_0,0.2071,0.0875,0.02905,0.05735,0.02485,0.3718,-0.2845051,0.8747006,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.67538997388954,-1.0040020772961833]}"
1_1_96_0,0.2427,0.1219,0.03275,0.0577,0.03415,0.3168,-0.13243969,0.80538535,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.92601993815889,-0.8707819206612581]}"
1_1_97_0,0.1777,0.07665,0.0287,0.0585,0.0256,0.337,-0.3095007,0.8587976,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.93769803685244,-0.9620507535278016]}"
1_1_98_0,0.18445,0.07935,0.03745,0.06045,0.03015,0.3624,-0.32540914,0.846389,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.72012607503869,-0.9378860723849864]}"
